case,field,type,status,computed,reference,diff
VariableSpeedControl.0.0.1,zmq_id,scalar,IDENTICAL,0,0,
VariableSpeedControl.0.0.1,logginglevel,scalar,IDENTICAL,1,1,
VariableSpeedControl.0.0.1,echo,scalar,IDENTICAL,0,0,
VariableSpeedControl.0.0.1,ext_interface,scalar,IDENTICAL,1,1,
VariableSpeedControl.0.0.1,dt_out,scalar,IDENTICAL,0.10000000149011612,0.10000000149011612,
VariableSpeedControl.0.0.1,n_dt_out,scalar,IDENTICAL,1,1,
VariableSpeedControl.0.0.1,n_dt_zmq,scalar,IDENTICAL,10,10,
VariableSpeedControl.0.0.1,f_lpftype,scalar,IDENTICAL,1,1,
VariableSpeedControl.0.0.1,f_lpfcornerfreq,scalar,IDENTICAL,1.5708000000000000,1.5708000000000000,
VariableSpeedControl.0.0.1,f_lpfdamping,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,f_numnotchfilts,scalar,IDENTICAL,0,0,
VariableSpeedControl.0.0.1,f_genspdnotch_n,scalar,IDENTICAL,0,0,
VariableSpeedControl.0.0.1,f_twrtopnotch_n,scalar,IDENTICAL,0,0,
VariableSpeedControl.0.0.1,f_notchfreqs,array,IDENTICAL,,,size=           1
VariableSpeedControl.0.0.1,f_notchbetanum,array,IDENTICAL,,,size=           1
VariableSpeedControl.0.0.1,f_notchbetaden,array,IDENTICAL,,,size=           1
VariableSpeedControl.0.0.1,f_sscornerfreq,scalar,IDENTICAL,0.62829999999999997,0.62829999999999997,
VariableSpeedControl.0.0.1,f_wecornerfreq,scalar,IDENTICAL,0.20943999999999999,0.20943999999999999,
VariableSpeedControl.0.0.1,f_flcornerfreq,array,IDENTICAL,,,size=           2
VariableSpeedControl.0.0.1,f_flhighpassfreq,scalar,IDENTICAL,1.0420000000000000E-002,1.0420000000000000E-002,
VariableSpeedControl.0.0.1,f_yawerr,scalar,IDENTICAL,0.17952000000000001,0.17952000000000001,
VariableSpeedControl.0.0.1,f_flpcornerfreq,array,IDENTICAL,,,size=           2
VariableSpeedControl.0.0.1,f_vsrefspdcornerfreq,scalar,IDENTICAL,0.20943999999999999,0.20943999999999999,
VariableSpeedControl.0.0.1,tra_mode,scalar,IDENTICAL,0,0,
VariableSpeedControl.0.0.1,tra_exclspeed,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,tra_exclband,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,tra_ratelimit,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,td_mode,scalar,IDENTICAL,0,0,
VariableSpeedControl.0.0.1,fa_hpfcornerfreq,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,fa_intsat,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,fa_ki,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,ipc_controlmode,scalar,IDENTICAL,0,0,
VariableSpeedControl.0.0.1,ipc_vramp,array,IDENTICAL,,,size=           2
VariableSpeedControl.0.0.1,ipc_intsat,scalar,IDENTICAL,0.29999999999999999,0.29999999999999999,
VariableSpeedControl.0.0.1,ipc_satmode,scalar,IDENTICAL,2,2,
VariableSpeedControl.0.0.1,ipc_kp,array,IDENTICAL,,,size=           2
VariableSpeedControl.0.0.1,ipc_ki,array,IDENTICAL,,,size=           2
VariableSpeedControl.0.0.1,ipc_azioffset,array,IDENTICAL,,,size=           2
VariableSpeedControl.0.0.1,ipc_cornerfreqact,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,pc_controlmode,scalar,IDENTICAL,1,1,
VariableSpeedControl.0.0.1,pc_gs_n,scalar,IDENTICAL,30,30,
VariableSpeedControl.0.0.1,pc_gs_angles,array,IDENTICAL,,,size=          30
VariableSpeedControl.0.0.1,pc_gs_kp,array,IDENTICAL,,,size=          30
VariableSpeedControl.0.0.1,pc_gs_ki,array,IDENTICAL,,,size=          30
VariableSpeedControl.0.0.1,pc_gs_kd,array,IDENTICAL,,,size=          30
VariableSpeedControl.0.0.1,pc_gs_tf,array,IDENTICAL,,,size=          30
VariableSpeedControl.0.0.1,pc_maxpit,scalar,IDENTICAL,1.5700000000000001,1.5700000000000001,
VariableSpeedControl.0.0.1,pc_minpit,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,pc_maxrat,scalar,IDENTICAL,0.17449999999999999,0.17449999999999999,
VariableSpeedControl.0.0.1,pc_minrat,scalar,IDENTICAL,-0.17449999999999999,-0.17449999999999999,
VariableSpeedControl.0.0.1,pc_refspd,scalar,IDENTICAL,122.90967000000001,122.90967000000001,
VariableSpeedControl.0.0.1,pc_finepit,scalar,IDENTICAL,0.0000000000000000,0.0000000000000000,
VariableSpeedControl.0.0.1,pc_switch,scalar,IDENTICAL,1.7450000000000000E-002,1.7450000000000000E-002,
VariableSpeedControl.0.0.1,vs_controlmode,scalar,IDENTICAL,1,1,
VariableSpeedControl.0.0.1,vs_constpower,scalar,IDENTICAL,1,1,
VariableSpeedControl.0.0.1,vs_fbp,scalar,IDENTICAL,0,0,
VariableSpeedControl.0.0.1,vs_geneff,scalar,IDENTICAL,94.400000000000006,94.400000000000006,
VariableSpeedControl.0.0.1,vs_arsattq,scalar,IDENTICAL,43093.500000000000,43093.500000000000,
VariableSpeedControl.0.0.1,vs_maxrat,scalar,IDENTICAL,40000.000000000000,40000.000000000000,
VariableSpeedControl.0.0.1,vs_maxtq,scalar,IDENTICAL,47402.900000000001,47402.900000000001,
